character_chosen,card_name,n,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,was_picked_pvalue,was_picked_qvalue,pseudo_r2,auc
DEFECT,Concentrate,313,3.8769762729234376,1.5664856546533001,9.595328866345739,0.003382009379520532,0.01019191700395536,0.2916261502339387,0.8521586345381525
DEFECT,Burning Pact,378,3.4608800725920843,1.6677715370821777,7.1818535156322225,0.0008585789060797,0.0028718429975949002,0.2607124364648964,0.835571852340145
DEFECT,Night Terror,343,2.357926372615741,1.2728843587629226,4.367888363464722,0.006390193115506673,0.01817570937094964,0.25885828769749475,0.8385043206471778
DEFECT,Master of Strategy+1,1206,1.947547970416201,1.5067404259315091,2.517316872763509,3.562502515892644e-07,1.5667956609500124e-06,0.12593667050720392,0.7278177869227251
DEFECT,Glacier,431375,1.6048590120163984,1.5766188082732662,1.633605050843616,0.0,0.0,-inf,0.7584249727256038
DEFECT,Acrobatics,1278,1.554501968870117,1.0768452127327308,2.2440331652575503,0.018511602424928435,0.045835305446784894,0.25488165297309906,0.8360761404194117
DEFECT,Backflip,1312,1.53701705896832,1.105912616534814,2.1361736942308003,0.01048590965446023,0.028195163852973576,0.270331182110069,0.8422386173621127
DEFECT,Coolheaded+1,265829,1.4700301488761298,1.4423368632659106,1.498255153592628,0.0,0.0,0.179653311640545,0.7824364040206084
DEFECT,Biased Cognition,326735,1.45407889846928,1.4269626971188996,1.4817103819480293,0.0,0.0,0.0990630873309215,0.7126831186566449
DEFECT,Master of Strategy,13369,1.4494715176115596,1.3084917566900491,1.605640746015664,1.1592839041961216e-12,5.7730258995954846e-12,0.39009571559083667,0.8856574792126907
DEFECT,Defragment+1,85330,1.4379294921208985,1.3773565367140894,1.5011663060341394,1.8780546490003794e-61,1.6167284400890863e-60,0.17557982704329933,0.7741775812915821
DEFECT,Biased Cognition+1,21208,1.4367996757633055,1.352757350795168,1.5260632714803313,4.6578439782011073e-32,2.981288609678576e-31,0.08745121882361406,0.7007024386078375
DEFECT,Defragment,436294,1.4229171560657663,1.3935450985135172,1.4529082949565189,7.202639787059451e-241,1.7579190073691252e-239,0.15246873062329125,0.7638585680080995
